Vernier Format 2
reposo.txt 10/18/2025 9:1:2
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

1.635	-0.300		
1.640	0.498		
1.645	0.402		
1.650	-0.296		
1.655	0.180		
1.660	0.722		
1.665	-0.175		
1.670	-0.139		
1.675	0.713		
1.680	0.033		
1.685	-0.296		
1.690	0.477		
1.695	0.378		
1.700	-0.334		
1.705	0.068		
1.710	0.555		
1.715	-0.271		
1.720	-0.247		
1.725	0.468		
1.730	-0.148		
1.735	-0.451		
1.740	0.203		
1.745	0.131		
1.750	-0.441		
1.755	-0.069		
1.760	0.390		
1.765	-0.351		
1.770	-0.305		
1.775	0.408		
1.780	-0.154		
1.785	-0.428		
1.790	0.241		
1.795	0.160		
1.800	-0.418		
1.805	-0.023		
1.810	0.498		
1.815	-0.279		
1.820	-0.230		
1.825	0.555		
1.830	-0.070		
1.835	-0.377		
1.840	0.380		
1.845	0.317		
1.850	-0.337		
1.855	0.090		
1.860	0.587		
1.865	-0.242		
1.870	-0.180		
1.875	0.633		
1.880	-0.035		
1.885	-0.334		
1.890	0.431		
1.895	0.314		
1.900	-0.337		
1.905	0.097		
1.910	0.637		
1.915	-0.218		
1.920	-0.175		
1.925	0.631		
1.930	-0.043		
1.935	-0.329		
1.940	0.460		
1.945	0.367		
1.950	-0.339		
1.955	0.072		
1.960	0.613		
1.965	-0.230		
1.970	-0.174		
1.975	0.627		
1.980	-0.046		
1.985	-0.334		
1.990	0.437		
1.995	0.348		
2.000	-0.326		
2.005	0.091		
2.010	0.599		
2.015	-0.236		
2.020	-0.194		
2.025	0.617		
2.030	-0.050		
2.035	-0.337		
2.040	0.434		
2.045	0.348		
2.050	-0.331		
2.055	0.102		
2.060	0.598		
2.065	-0.250		
2.070	-0.203		
2.075	0.573		
2.080	-0.052		
2.085	-0.334		
2.090	0.424		
2.095	0.311		
2.100	-0.364		
2.105	0.058		
2.110	0.565		
2.115	-0.255		
2.120	-0.198		
2.125	0.605		
2.130	-0.056		
2.135	-0.339		
2.140	0.433		
2.145	0.346		
2.150	-0.328		
2.155	0.110		
2.160	0.622		
2.165	-0.230		
2.170	-0.166		
2.175	0.655		
2.180	-0.031		
2.185	-0.311		
2.190	0.466		
2.195	0.369		
2.200	-0.331		
2.205	0.056		
2.210	0.538		
2.215	-0.265		
2.220	-0.230		
2.225	0.495		
2.230	-0.096		
2.235	-0.364		
2.240	0.358		
2.245	0.238		
2.250	-0.387		
2.255	0.041		
2.260	0.543		
2.265	-0.277		
2.270	-0.207		
2.275	0.611		
2.280	-0.027		
2.285	-0.284		
2.290	0.643		
2.295	0.701		
2.300	-0.105		
2.305	0.434		
2.310	0.835		
2.315	-0.183		
2.320	-0.265		
2.325	0.287		
2.330	-0.262		
2.335	-0.521		
2.340	0.093		
2.345	0.091		
2.350	-0.421		
2.355	-0.023		
2.360	0.508		
2.365	-0.271		
2.370	-0.210		
2.375	0.552		
2.380	-0.069		
2.385	-0.345		
2.390	0.410		
2.395	0.328		
2.400	-0.335		
2.405	0.090		
2.410	0.599		
2.415	-0.236		
2.420	-0.178		
2.425	0.607		
2.430	-0.031		
2.435	-0.325		
2.440	0.439		
2.445	0.343		
2.450	-0.316		
2.455	0.136		
2.460	0.637		
2.465	-0.226		
2.470	-0.166		
2.475	0.645		
2.480	-0.027		
2.485	-0.317		
2.490	0.469		
2.495	0.381		
2.500	-0.310		
2.505	0.143		
2.510	0.643		
2.515	-0.210		
2.520	-0.145		
2.525	0.662		
2.530	0.004		
2.535	-0.297		
2.540	0.501		
2.545	0.401		
2.550	-0.288		
2.555	0.161		
2.560	0.662		
2.565	-0.206		
2.570	-0.149		
2.575	0.687		
2.580	0.001		
2.585	-0.314		
2.590	0.439		
2.595	0.312		
2.600	-0.372		
2.605	-0.005		
2.610	0.459		
2.615	-0.332		
2.620	-0.277		
2.625	0.422		
2.630	-0.166		
2.635	-0.453		
2.640	0.192		
2.645	0.082		
2.650	-0.451		
2.655	-0.081		
2.660	0.384		
2.665	-0.329		
2.670	-0.273		
2.675	0.445		
2.680	-0.143		
2.685	-0.406		
2.690	0.255		
2.695	0.177		
2.700	-0.401		
2.705	0.020		
2.710	0.529		
2.715	-0.271		
2.720	-0.227		
2.725	0.520		
2.730	-0.079		
2.735	-0.354		
2.740	0.402		
2.745	0.309		
2.750	-0.345		
2.755	0.090		
2.760	0.617		
2.765	-0.238		
2.770	-0.178		
2.775	0.599		
2.780	-0.052		
2.785	-0.331		
2.790	0.428		
2.795	0.326		
2.800	-0.339		
2.805	0.094		
2.810	0.608		
2.815	-0.233		
2.820	-0.180		
2.825	0.608		
2.830	-0.047		
2.835	-0.335		
2.840	0.442		
2.845	0.322		
2.850	-0.348		
2.855	0.067		
2.860	0.584		
2.865	-0.246		
2.870	-0.180		
2.875	0.633		
2.880	-0.032		
2.885	-0.331		
2.890	0.404		
2.895	0.308		
2.900	-0.346		
2.905	0.091		
2.910	0.587		
2.915	-0.249		
2.920	-0.197		
2.925	0.570		
2.930	-0.058		
2.935	-0.334		
2.940	0.428		
2.945	0.314		
2.950	-0.352		
2.955	0.088		
2.960	0.602		
2.965	-0.246		
2.970	-0.191		
2.975	0.611		
2.980	-0.049		
2.985	-0.339		
2.990	0.421		
2.995	0.332		
3.000	-0.331		
3.005	0.101		
3.010	0.559		
3.015	-0.242		
3.020	-0.182		
3.025	0.614		
3.030	-0.044		
3.035	-0.332		
3.040	0.425		
3.045	0.334		
3.050	-0.329		
3.055	0.105		
3.060	0.601		
3.065	-0.239		
3.070	-0.175		
3.075	0.620		
3.080	-0.026		
3.085	-0.316		
3.090	0.450		
3.095	0.360		
3.100	-0.316		
3.105	0.155		
3.110	0.662		
3.115	-0.203		
3.120	-0.139		
3.125	0.680		
3.130	-0.012		
3.135	-0.305		
3.140	0.463		
3.145	0.343		
3.150	-0.343		
3.155	0.041		
3.160	0.532		
3.165	-0.273		
3.170	-0.221		
3.175	0.524		
3.180	-0.114		
3.185	-0.369		
3.190	0.352		
3.195	0.250		
3.200	-0.363		
3.205	0.029		
3.210	0.530		
3.215	-0.261		
3.220	-0.178		
3.225	0.658		
3.230	0.078		
3.235	-0.186		
3.240	0.832		
3.245	0.713		
3.250	-0.198		
3.255	0.258		
3.260	0.550		
3.265	-0.377		
3.270	-0.395		
3.275	0.158		
3.280	-0.244		
3.285	-0.467		
3.290	0.203		
3.295	0.171		
3.300	-0.387		
3.305	0.012		
3.310	0.503		
3.315	-0.274		
3.320	-0.215		
3.325	0.546		
3.330	-0.078		
3.335	-0.348		
3.340	0.383		
3.345	0.293		
3.350	-0.354		
3.355	0.067		
3.360	0.547		
3.365	-0.246		
3.370	-0.178		
3.375	0.611		
3.380	-0.058		
3.385	-0.319		
3.390	0.444		
3.395	0.337		
3.400	-0.325		
3.405	0.117		
3.410	0.611		
3.415	-0.227		
3.420	-0.171		
3.425	0.617		
3.430	-0.026		
3.435	-0.306		
3.440	0.454		
3.445	0.351		
3.450	-0.305		
3.455	0.140		
3.460	0.660		
3.465	-0.195		
3.470	-0.140		
3.475	0.678		
3.480	0.011		
3.485	-0.274		
3.490	0.530		
3.495	0.416		
3.500	-0.293		
3.505	0.183		
3.510	0.671		
3.515	-0.192		
3.520	-0.128		
3.525	0.648		
3.530	-0.032		
3.535	-0.325		
3.540	0.408		
3.545	0.259		
3.550	-0.380		
3.555	-0.020		
3.560	0.431		
3.565	-0.325		
3.570	-0.277		
3.575	0.392		
3.580	-0.168		
3.585	-0.428		
3.590	0.207		
3.595	0.096		
3.600	-0.435		
3.605	-0.058		
3.610	0.393		
3.615	-0.310		
3.620	-0.253		
3.625	0.425		
3.630	-0.151		
3.635	-0.395		
3.640	0.302		
3.645	0.212		
3.650	-0.384		
3.655	0.008		
3.660	0.515		
3.665	-0.258		
3.670	-0.201		
3.675	0.555		
3.680	-0.070		
3.685	-0.339		
3.690	0.399		
3.695	0.311		
3.700	-0.335		
3.705	0.085		
3.710	0.579		
3.715	-0.232		
3.720	-0.172		
3.725	0.602		
3.730	-0.032		
3.735	-0.319		
3.740	0.424		
3.745	0.320		
3.750	-0.328		
3.755	0.093		
3.760	0.578		
3.765	-0.236		
3.770	-0.182		
3.775	0.610		
3.780	-0.041		
3.785	-0.325		
3.790	0.392		
3.795	0.287		
3.800	-0.343		
3.805	0.090		
3.810	0.596		
3.815	-0.226		
3.820	-0.178		
3.825	0.569		
3.830	-0.052		
3.835	-0.325		
3.840	0.425		
3.845	0.317		
3.850	-0.329		
3.855	0.087		
3.860	0.558		
3.865	-0.255		
3.870	-0.191		
3.875	0.590		
3.880	-0.050		
3.885	-0.329		
3.890	0.424		
3.895	0.314		
3.900	-0.334		
3.905	0.079		
3.910	0.582		
3.915	-0.242		
3.920	-0.186		
3.925	0.573		
3.930	-0.050		
3.935	-0.322		
3.940	0.424		
3.945	0.288		
3.950	-0.346		
3.955	0.065		
3.960	0.570		
3.965	-0.238		
3.970	-0.188		
3.975	0.585		
3.980	-0.052		
3.985	-0.323		
3.990	0.422		
3.995	0.315		
4.000	-0.331		
4.005	0.088		
4.010	0.584		
4.015	-0.242		
4.020	-0.191		
4.025	0.593		
4.030	-0.056		
4.035	-0.328		
4.040	0.419		
4.045	0.326		
4.050	-0.325		
4.055	0.125		
4.060	0.628		
4.065	-0.204		
4.070	-0.143		
4.075	0.662		
4.080	0.000		
4.085	-0.300		
4.090	0.416		
4.095	0.282		
4.100	-0.348		
4.105	0.032		
4.110	0.483		
4.115	-0.273		
4.120	-0.235		
4.125	0.480		
4.130	-0.101		
4.135	-0.361		
4.140	0.326		
4.145	0.209		
4.150	-0.366		
4.155	0.038		
4.160	0.544		
4.165	-0.239		
4.170	-0.163		
4.175	0.718		
4.180	0.134		
4.185	-0.145		
4.190	0.858		
4.195	0.678		
4.200	-0.213		
4.205	0.219		
4.210	0.433		
4.215	-0.396		
4.220	-0.387		
4.225	0.180		
